sigma_T5,sigma_T10,sigma_T15,sigma_T20,sigma_T25,sigma_T30,sigma_T35,sigma_T40,sigma_T45,sigma_T50
0.0421308856,-0.1795950175,0.0944490203,0.2110190801,-0.2539991149,-0.0428969765,2.2183390113,0.5671465429,1.6543237664,0.5893185687
0.8551908106,0.5213701604,0.1845148567,-0.6610055360,-0.1807180886,-0.0688423746,-0.1912823508,0.2917684650,-0.1394753184,-0.0003188128
0.1673134847,-1.1788305536,-0.5398006335,0.0666382044,2.2005533544,1.2058616497,1.5509081783,-0.0481285869,0.0268322038,-0.0154358672
2.0512414090,0.2583583530,0.8591837675,0.9783368054,-0.5711351270,0.1253675427,-0.4895211794,1.7628540716,0.0414366751,1.5445716313
1.4803700471,0.3331541106,2.9711551883,0.3574028104,3.1321261667,-0.6744286022,0.1697355161,0.4258531758,-0.9716354755,0.1852773171
0.3053788669,0.3073122335,0.3482730910,2.4981680938,0.0888859129,-0.5765048785,-0.0557151065,0.3303139973,-0.3585027222,1.8860207761
5.1942020608,0.0031728192,3.4746995368,0.1064918969,1.1035989313,-0.6164433830,0.0509412007,0.0295754963,3.8605635660,-0.3526339582
0.0557828889,-0.4094477102,0.8571883194,-0.1767987083,-0.0352475995,0.0950351810,2.2438431503,0.0862662819,2.5652533134,0.1026598756
-0.1720683399,-0.1567220406,-0.1668716812,0.1185797675,-0.0134189220,-0.1701588389,3.2507236153,0.3593705226,-0.0949165797,0.7448755355
-0.0355806085,0.3133062087,-0.5401762729,2.2319285212,-0.0770744845,-0.0067453537,0.0114196807,-0.1364689871,1.6438853568,0.1075552507
-0.2024829671,1.5523616664,-0.2469070652,0.4007012260,0.0611881790,-0.1610837298,-0.8803204827,-0.1238735690,0.8618659669,-0.4014558172
-0.4766820246,-0.1361221076,-0.1538723316,0.1484297628,0.0060648952,-0.1218381398,-0.4607994266,2.7225374799,-0.8309755348,0.4450397036
0.6807615589,0.5881469243,-0.2243946023,2.3469627563,2.0580735393,-0.5245541330,1.5112413892,2.2949314386,0.8225695800,-0.8077166735
0.3710803460,-0.6217269520,-1.1991406585,0.1013262526,1.2068245623,0.0600938443,2.5008822930,0.2554244233,0.0469177588,-0.0493621731
0.2302083423,0.2150634994,-0.0589211961,1.6883142880,1.5813451158,0.0255722215,-0.0635260123,0.0626034084,1.2722811547,0.4113204128
-0.2779343052,1.6427961016,0.3353173269,0.4300239017,1.0401641496,-0.2698686983,0.1346977109,0.1863986498,2.6741305133,-0.4618443797
-0.0007841689,2.9389362365,0.1516256262,0.8321807184,-0.2650812050,-1.3680952491,-0.5003329737,-0.0720548280,-0.0608168527,0.1302712963
0.1400016794,1.0092038057,0.1812159062,-0.0417392399,-0.0611186554,-0.5040202405,0.1425660008,-1.7544182488,-2.2750085265,2.7172729901
0.2742138017,0.4771542649,0.6399329837,1.1734585604,0.3358531233,0.2028739787,1.8041941029,1.2820072351,-0.5371280183,0.6245390850
0.1608262276,1.3332300491,0.6773627037,0.1883417303,-0.7179977303,0.2746658537,1.5412253292,0.0332229601,-0.0098131754,4.4950299857
0.0241012717,-0.2410721766,-0.5223739679,0.3541386633,0.0484458370,-0.1118669042,0.9192390645,-0.3189553561,3.0306214045,0.0074261281
-0.0537555384,0.5347546747,0.2799772436,-0.3718003711,0.0696798309,-0.0475177036,-0.0922585623,0.1214741763,0.5598896732,1.0298340843
0.8832703053,1.2374128678,-0.0347117027,-0.3105407442,0.1279399850,1.3691445600,1.0765100117,-0.0564446903,0.2295907477,0.5678472566
1.8141205039,-0.0289677089,2.2701384190,0.0265750537,2.9879848040,2.0652507301,0.0678950701,-0.1040613609,0.6413329203,2.4358724439
0.0063598933,0.2554027784,4.4252670213,0.8273038472,0.0390564008,3.1655047428,-0.9347502300,0.0842040772,2.3544025273,0.1758085704
-0.0856847615,-0.6597785199,1.4343728139,0.2149889599,1.8007660643,0.4500351362,0.0231408778,1.2925152990,0.0414107530,0.0380380836
1.5675130256,1.1408995373,1.8319680313,4.2668317686,0.1913893985,0.4130049647,-0.0003873952,2.0793065659,0.2985201960,0.0249646671
0.8042594103,0.3001385116,0.1323744673,0.2950722894,1.0374907281,0.0066070462,1.4321219207,2.3600787297,-0.5684767592,-1.4394927103
-0.1094623756,0.3023745047,0.6834205885,0.1587333354,3.9876295137,0.1399926965,0.8340533017,-0.0934991409,-1.1163278489,0.6084380817
