sigma_T5,sigma_T10,sigma_T15,sigma_T20,sigma_T25,sigma_T30,sigma_T35,sigma_T40,sigma_T45,sigma_T50
-0.2119659540,0.1254598668,1.4739464290,1.3918084568,2.0946704317,-0.1057142991,2.2256968905,5.3029937060,1.1229590511,1.5425658864
0.0414297579,0.7703727912,3.4699131233,5.4029176138,-1.0135662119,5.0822051742,0.2129201933,-0.7883340192,2.8046587020,3.6633305832
1.0633480020,0.6735091817,2.6646505702,2.0691800662,4.6256596790,1.1307280240,3.5075592792,0.1296309430,4.5605102049,3.9579191131
0.9466939295,2.5876989255,0.0316424608,2.2872063215,-0.7642291785,0.6294311252,1.1984597188,3.6601677981,1.8929623015,-1.3700071384
0.8726767512,3.0733773247,2.3649195367,0.8616095887,2.3311854857,5.5475297741,4.9507334349,6.8192056598,3.7691950129,4.2242802404
0.5192325842,0.1904597736,2.8615659381,4.4134670619,-0.5546448327,0.6536126685,5.3569011755,5.3326360010,1.1811233183,4.3133635513
0.1253154104,1.0401077075,2.4224186082,6.4332813121,0.5616146324,2.4046099412,3.4802831410,6.7173692979,4.1830737517,0.2874383614
0.1340834892,-0.4755305138,0.7040527440,1.3493644753,1.1475264646,3.8075733841,0.6517044534,7.6325710293,-2.1424276616,2.3581341549
-0.3471636995,2.1183071212,-0.1661241389,1.2769797243,1.8804009642,4.8965660581,-1.6340142685,2.2018610712,7.5588465888,0.4888671052
5.4915766284,1.5659046360,2.6563575853,3.0098804791,2.4992910229,6.0085067384,0.9645629915,0.0190606507,3.2953499588,0.4644145049
0.5496349819,-1.6961365784,2.3540436013,-2.0481094267,2.5681234629,9.5032327546,1.4414407451,-0.0140745712,-1.0596702671,3.6863965173
1.0697810983,2.0088141875,-0.1196699780,2.7366366408,-1.4654750999,2.7609766848,0.4919477459,-1.4269069089,0.9415161048,8.7297015145
0.0009838481,2.7313571732,0.9544205841,4.0902767182,0.4474952746,-0.5907716406,0.3872920029,-1.2902765343,-0.4065889018,4.4407045246
0.2204975642,0.8977192843,1.0756920999,3.1639092494,3.2985045251,-0.1631356065,7.9269937905,7.7572863144,1.1244072750,7.3080099509
-0.1377551438,1.1340708135,8.3266334774,-0.1639475906,2.3224335623,4.2583361510,2.5974844061,0.5193976199,0.6630292508,5.2292521603
-0.1435203172,-0.3023586398,-0.4258142482,2.2036900143,3.2253759140,0.6619703876,6.3042282623,2.8968941749,4.3643192677,4.7116781833
