temperature,N,cumulative_mean_exp_neg_sigma,ci_lower_2.5,ci_upper_97.5
3.0,1930,1.0842348406589868,0.7982542451312881,1.4956176377241197
3.0,1940,1.0895290098333514,0.7946836440730756,1.4995766127909975
3.0,1950,1.0856363405608491,0.7923757201782688,1.4961474521138585
3.0,1960,1.081383876515727,0.7920194045825414,1.50031169541257
3.0,1970,1.0786575647228658,0.7941933760146421,1.5084657296591446
3.0,1980,1.0750986337709199,0.784171550531386,1.4754111137516719
3.0,1990,1.0705169568228936,0.7815124126328855,1.47202156411914
3.0,2000,1.0684336449616472,0.7806053660747362,1.5026250983402671
3.0,2010,1.072582648659472,0.7930436270218613,1.474545128042744
3.0,2020,1.0691918680236239,0.787420076864306,1.50201916697988
3.0,2030,1.0642261331606249,0.7875185358380188,1.4680735733008676
3.0,2040,1.0592523894825445,0.7854256623406157,1.4703537973030703
3.0,2050,1.0575908338982396,0.7858573823681146,1.4587909284487492
3.0,2060,1.0534119886194069,0.7879829234476794,1.452015563009939
3.0,2070,1.0516052290488018,0.780212108453507,1.4378024160464278
3.0,2080,1.050215665180516,0.7785646206286112,1.4446144626790827
3.0,2090,1.0467395782684394,0.7865176381955543,1.4304784664694936
3.0,2100,1.0448891251378478,0.7723283572975852,1.448370536521795
3.0,2110,1.0415904844461372,0.7636475237589312,1.4452124524275167
3.0,2120,1.0455757461962119,0.7726021861575258,1.4115495032724232
3.0,2130,1.0419759121305605,0.7822860650749243,1.418700175551293
3.0,2140,1.0384700956988824,0.7714332653647881,1.4046940491953357
3.0,2150,1.0380048514035394,0.7836605938183587,1.4280809200396447
3.0,2160,1.0377248123716054,0.785145138642807,1.38288542278149
3.0,2170,1.0348754427103906,0.7735630075728223,1.4098065741179735
3.0,2180,1.0350850357956014,0.7683925019712483,1.4204343192421225
3.0,2190,1.0317659964222605,0.7807169683351385,1.4101628040474832
3.0,2200,1.0293075450111147,0.7776890688829596,1.3894260631105955
3.0,2210,1.029472572029433,0.7701934003462063,1.3934045724763713
3.0,2220,1.0297595396963009,0.7781263309594683,1.3931110992886921
3.0,2230,1.0263098084231421,0.7789791324452163,1.4168061792730888
3.0,2240,1.0243549177280613,0.7722061715343742,1.3913380885806332
3.0,2250,1.0219767537848012,0.7737007392971815,1.3907760137309213
3.0,2260,1.020471743224162,0.7720711708235234,1.3830414410981657
3.0,2270,1.017323308201996,0.7620196616000755,1.36542781870819
3.0,2280,1.0144867266363076,0.7568368639908283,1.3773875260239719
3.0,2290,1.01331951479893,0.7697577180687072,1.3855575670843268
3.0,2300,1.0170306724361755,0.7688039728700256,1.3631019860838753
3.0,2310,1.0222422276428593,0.7766876275419322,1.386185294034546
3.0,2320,1.0353482531677511,0.787065845637757,1.3808745615466036
3.0,2330,1.033149989513086,0.7871547801492469,1.389037400528326
3.0,2340,1.038204789156229,0.792888676004682,1.3813694053667864
3.0,2350,1.0364380662209964,0.7914338862943058,1.3902261755700773
3.0,2360,1.0334340775984252,0.7957734234241621,1.3680795868872964
3.0,2370,1.031241863530043,0.7849303319944227,1.3767974072980007
3.0,2380,1.02811317273474,0.7803273674868763,1.3727154264964927
3.0,2390,1.0251916595229906,0.7847975741822573,1.3777407391464538
3.0,2400,1.0219935113423988,0.7847317076750419,1.3617036258157935
3.0,2410,1.026171523647286,0.7826302088516519,1.3486015468966528
3.0,2420,1.0237770874888756,0.7913344477457955,1.3638129478675352
3.0,2430,1.0207229897311154,0.7856870220885026,1.360745982538772
3.0,2440,1.0218758233160496,0.7907407966514476,1.3589800645880477
3.0,2450,1.0216443089145035,0.7810551374718582,1.3638019337511067
3.0,2460,1.0183953903767269,0.7972799833645601,1.3502694114905698
3.0,2470,1.0146738366955885,0.7774377846606015,1.3343568036833042
3.0,2480,1.0127138233341912,0.7796978068915217,1.3373132038779894
3.0,2490,1.009395175447001,0.7865053013855932,1.3406547059131468
3.0,2500,1.011662394154485,0.778876023108371,1.3490306135493624
3.0,2510,1.0103075167822446,0.7898706063794274,1.3560425050332978
3.0,2520,1.009207020756864,0.7754198039321771,1.3492964386990849
3.0,2530,1.0062106322267592,0.7744660919365042,1.300119163464556
3.0,2540,1.003660980760059,0.7750087165091649,1.3421915266432345
